time,turbine_num,wind_speed,kw,wind_speed_sd,wind_speed_max,torque_actual_value,blade_1_actual_angle,blade_2_actual_angle,blade_3_actual_angle,blade_1_2_act_angle_diff,blade_2_3_act_angle_diff,blade_3_1_act_angle_diff,ot,sot,dt,lot,wot,est,mt,rt,eect
11/1/2015 21:20,22,0.210201429,0.004641453,0.095394737,0.145491803,0.020841411,0.891186996,0.823769472,0.833827579,0.017679971,0.016717292,0.035118802,0,303,297,0,0,0,0,0,0
11/1/2015 21:30,22,0.236192333,0.124525939,0.10745614,0.156296572,0.177491276,0.628131255,0.579555069,0.29739462,0.032205188,0.002888458,0.029937479,300,600,0,0,0,0,0,0,0
11/1/2015 21:40,22,0.242365172,0.225740232,0.0625,0.145864382,0.321151609,0.446230363,0.448613945,0.015251006,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 21:50,22,0.253411306,0.259789151,0.067982456,0.16523845,0.352171384,0.446230363,0.448613945,0.015251006,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 22:00,22,0.265107212,0.29357364,0.074561404,0.166356185,0.381446297,0.446230363,0.448613945,0.015356916,0,8.75E-05,8.94E-05,600,600,0,0,0,0,0,0,0
11/1/2015 22:10,22,0.259259259,0.285717268,0.07127193,0.161698957,0.375145405,0.446230363,0.448613945,0.015251006,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 22:20,22,0.262183236,0.291868759,0.089912281,0.170454545,0.379313687,0.446230363,0.448613945,0.015356916,0,8.75E-05,8.94E-05,600,600,0,0,0,0,0,0,0
11/1/2015 22:30,22,0.276478233,0.357367524,0.070175439,0.170081967,0.433695231,0.446230363,0.448613945,0.015251006,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 22:40,22,0.276803119,0.352325946,0.082236842,0.173435171,0.430302443,0.446230363,0.448613945,0.015145096,0,8.75E-05,8.94E-05,600,600,0,0,0,0,0,0,0
11/1/2015 22:50,22,0.26445744,0.307146585,0.081140351,0.177347243,0.392109345,0.446230363,0.448613945,0.015251006,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 23:00,22,0.265756985,0.306993494,0.077850877,0.161512668,0.392497092,0.446230363,0.448613945,0.015145096,0,8.75E-05,8.94E-05,600,600,0,0,0,0,0,0,0
11/1/2015 23:10,22,0.263807667,0.299697297,0.066885965,0.158532042,0.387165568,0.446230363,0.448613945,0.015251006,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 23:20,22,0.268680962,0.313343307,0.070175439,0.170268256,0.398410237,0.446230363,0.448613945,0.015251006,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 23:30,22,0.24691358,0.234692599,0.061403509,0.159836066,0.329585111,0.446230363,0.448613945,0.015251006,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 23:40,22,0.24431449,0.217629867,0.064692982,0.148845007,0.313299729,0.446230363,0.448613945,0.015251006,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 23:50,22,0.23294347,0.19213319,0.075657895,0.146050671,0.288290035,0.446230363,0.448613945,0.015251006,0,0,0,600,600,0,0,0,0,0,0,0
11/2/2015 0:00,22,0.217673814,0.158331304,0.078947368,0.146795827,0.248836758,0.446230363,0.448613945,0.015251006,0,0,0,600,600,0,0,0,0,0,0,0
11/2/2015 0:10,22,0.223846654,0.164113984,0.084429825,0.164120715,0.252326483,0.446230363,0.448613945,0.015251006,0,0,0,600,600,0,0,0,0,0,0,0
11/2/2015 0:20,22,0.22677063,0.182558018,0.094298246,0.149217586,0.27510663,0.446230363,0.448613945,0.015251006,0,0,0,600,600,0,0,0,0,0,0,0
11/2/2015 0:30,22,0.257634828,0.270714311,0.073464912,0.162630402,0.36108957,0.446230363,0.448613945,0.015251006,0,0,0,600,600,0,0,0,0,0,0,0
11/2/2015 0:40,22,0.249512671,0.241052851,0.064692982,0.161326379,0.335401318,0.446230363,0.448613945,0.015251006,0,0,0,600,600,0,0,0,0,0,0,0
11/2/2015 0:50,22,0.251137102,0.244845343,0.082236842,0.167846498,0.338406359,0.446230363,0.448613945,0.015251006,0,0,0,600,600,0,0,0,0,0,0,0
11/2/2015 1:00,22,0.245614035,0.229369194,0.083333333,0.156296572,0.32415665,0.446230363,0.448613945,0.015251006,0,0,0,600,600,0,0,0,0,0,0,0
11/2/2015 1:10,22,0.230019493,0.18142375,0.069078947,0.14400149,0.276657619,0.446230363,0.448613945,0.015251006,0,0,0,600,600,0,0,0,0,0,0,0
11/2/2015 1:20,22,0.223196881,0.156702968,0.066885965,0.146609538,0.24757658,0.446230363,0.448613945,0.015251006,0,0,0,600,600,0,0,0,0,0,0,0
